№,Наименование,Цена,количество,Сумма
1,Камера аналог 5 мп,2800,6,16800
2,Блок пит. 2 А,800,6,4800
3,BNC-разъёмы(комплект),150,6,900
4,Кабель руб/м,35,6,210
5,Установка  камер,3000,300,900000
6,IP-камера  5Мп ,5000,1,5000
7,Регистратор аналоговый 5 Мп 4 кан,7600,1,7600
8,SD-карта 32 Гб,1600,1,1600
Итого,,,,936910
