№,Наименование,Цена,количество,Сумма
1,Камера аналог 2 мп(Sony),5000,3,15000
2,BNC-разъёмы(комплект),150,3,450
3,Установка  камер,3000,3,9000
4,Гермобокс,75,3,225
5,Кабель руб/м,35,100,3500
6,Жесткий диск,4000,1,4000
7,Блок пит. 3 А,1500,1,1500
8,Регистратор аналоговый 2 Мп,7800,1,7800
9,PoE Switch  8-ports,4000,1,4000
10,,,,
Итого,,,,41475
