№,Наименование,Цена,количество,Сумма
1,Камера аналог 2 мп(Sony),2500,8,20000
2,BNC-разъёмы(комплект),150,8,1200
3,Установка  камер,3000,8,24000
4,Кабель руб/м,35,44,1540
5,Жесткий диск,4000,1,4000
6,Регистратор аналоговый 5 Мп 4 кан,5800,1,5800
7,Блок питания 3 А,1300,2,2600
,Итого,,,190600
